Iteration, BLEU1, BLEU2, BLEU3, BLEU4
0, 0.5434140805799386, 0.24686700055617986, 0.055192996046859295, 0.017444320226974352
1, 0.5680368743246403, 0.2916425542817867, 0.07614978523308036, 0.023039968256514536
2, 0.5840263276642205, 0.3132690964830492, 0.09097130778905972, 0.028345569322345977
3, 0.5793103052172062, 0.3146315362287248, 0.09166202715911788, 0.02768957978135787
4, 0.6036183531533837, 0.333293922202318, 0.10477550812577706, 0.03233282945184722
5, 0.6028328241913029, 0.33260056090645346, 0.11876519945676893, 0.04349577481996055
6, 0.6165676965133946, 0.351433439716939, 0.11732139784447493, 0.03802072999996276
7, 0.6125290402109574, 0.3453259346124487, 0.11234525601514021, 0.035582851932787186
8, 0.6200614535255087, 0.3570036798474351, 0.13224054844736105, 0.04681514828447442
9, 0.6242685686601505, 0.3571432927431437, 0.13412687512143304, 0.04569143202840853
10, 0.6123856714051791, 0.35199736479019855, 0.117494651592132, 0.04151487325648182
11, 0.6285017478618284, 0.37068996308176383, 0.1387576234344148, 0.04793303063424357
12, 0.6291150514262838, 0.3696647977044738, 0.13856724200722098, 0.05106143535773712
13, 0.6287051499128353, 0.3710906615777536, 0.1356545675464812, 0.0466169525588858
14, 0.6151373834772055, 0.35927754006416485, 0.12254575840951942, 0.04135513096104355
15, 0.6256274886592147, 0.3733199114651847, 0.13593190495337398, 0.04727585181902301
16, 0.6177014268066486, 0.3606457111167848, 0.13532008847646318, 0.04370300887366862
17, 0.6295526732319385, 0.3739306291420992, 0.13767878266101163, 0.047525064609264034
18, 0.6400014682069768, 0.37796837586461624, 0.14467091489465742, 0.05178218648963483
19, 0.6233321574329274, 0.3619048381278054, 0.12334761928410717, 0.03854619105162077
20, 0.6211424908219015, 0.3704023164656373, 0.13175590350791877, 0.046361647876618804
21, 0.6371622460265438, 0.38037606434734234, 0.14630348987469421, 0.05197220050010621
22, 0.6346535642230358, 0.37919739083133536, 0.14649188587128328, 0.053349660198577384
23, 0.6355618049706008, 0.37909704793865007, 0.1361376944286436, 0.044204076067950494
24, 0.6394848495070882, 0.38013377640347357, 0.15173749295658912, 0.0570045127165173
25, 0.6408664366447052, 0.3855720452382828, 0.15725757211485136, 0.05809645353542619
26, 0.627962944655298, 0.3632309130106651, 0.13440568710435088, 0.04393857297338091
27, 0.6364343838450551, 0.3819998066571432, 0.14634410789531602, 0.050205178839323364
28, 0.6404675966499058, 0.38610331593443803, 0.1545012435747243, 0.05642436286858634
29, 0.6268916013065065, 0.37204770763688316, 0.1412935728826632, 0.04863077036743258
30, 0.6389177627862724, 0.3855184127414881, 0.15160565257339384, 0.057397614635860995
31, 0.6478123776554235, 0.3975718579473474, 0.16752039452032816, 0.06138377394389183
32, 0.6362368029670925, 0.3825272995899116, 0.14830830853166332, 0.05355674438522949
33, 0.6336826804239604, 0.3860021797664471, 0.14690722813364981, 0.04916549828272995
34, 0.6356584112143303, 0.3845676649221209, 0.15005364840896468, 0.05243267376345593
35, 0.6416975802793315, 0.39077291802536857, 0.15682817819430817, 0.05863993984293522
36, 0.6394559955725437, 0.3865507943909294, 0.1553065026254241, 0.0591589184675925
37, 0.6356408056725488, 0.38417407480838855, 0.1491419764632492, 0.052539208365576136
38, 0.6450643324941712, 0.3879929540609501, 0.15933896513826465, 0.05677884056606876
39, 0.639594421842509, 0.3822643155879767, 0.14412972397634638, 0.04724598500352472
40, 0.6336621121127608, 0.37347872355571415, 0.14462435102370383, 0.05073134174610814
41, 0.6469581797611784, 0.39607701898992265, 0.1606004915123616, 0.06052312884358608
42, 0.6403896029680693, 0.383884953802217, 0.14348393840907117, 0.047905362361948554
43, 0.6383991476885736, 0.38584301989173797, 0.15241978516446797, 0.05319048179572512
44, 0.6431936637434758, 0.3926087140224944, 0.15799219813630042, 0.06210864652708175
45, 0.6441811701233456, 0.3916176320535855, 0.15340118364373975, 0.05632950890166897
46, 0.640185608776771, 0.3902656657933485, 0.15674496290495538, 0.05650214580108537
47, 0.645525344656534, 0.38836169595942505, 0.15124452563714214, 0.05233118067331151
48, 0.6459911800286434, 0.3916299360996224, 0.15240561433053143, 0.05437322149484625
49, 0.6391844551679041, 0.3903234918060056, 0.15903284000923867, 0.056584907202159335
50, 0.646106749026161, 0.3852279351573324, 0.14757672552165044, 0.05151157446205425
51, 0.6469164244730338, 0.3956501906062206, 0.15687244507348355, 0.05544816642210306
52, 0.6382087648182263, 0.3869655528777427, 0.1482679650136218, 0.05182963899814789
53, 0.6411940309322326, 0.3848039066078473, 0.1416643040221411, 0.04758029225553498
54, 0.6393790622494657, 0.38756156691178034, 0.15594361677311477, 0.056690945923644105
55, 0.6393580593948562, 0.38805027617460564, 0.15358025377101323, 0.056650893338858616
56, 0.6465878349345826, 0.39302112030829317, 0.16054595133341817, 0.05598061901762899
57, 0.636329801935547, 0.3841823288572572, 0.14401216972863323, 0.04744181334168534
58, 0.6513283449845337, 0.3908188790715061, 0.15449258705100444, 0.05524839484012774
59, 0.6481431743557505, 0.3938652035793509, 0.15504787581306625, 0.0537573950532496
60, 0.6518159381124464, 0.3984744634368095, 0.16313739084938386, 0.05716753551062309
61, 0.6392988877424605, 0.38421165598194384, 0.14606711755954227, 0.048298931683689594
62, 0.6450066818691396, 0.3898593857212408, 0.15737350274591716, 0.05522641538814363
63, 0.6438522893328028, 0.38890602189227974, 0.1520806942062553, 0.050775510759507106
64, 0.6439173834080012, 0.3897426683644298, 0.15162482925301154, 0.05353026010555899
65, 0.6458761121866472, 0.39176973411000865, 0.1552770814036644, 0.056786292127390656
66, 0.6504860248463765, 0.3927159472588727, 0.1543447898158219, 0.0553241445613655
67, 0.6386198968258708, 0.3855474963502034, 0.14920313906105917, 0.05055983186375122
68, 0.6480559745163762, 0.3994884701428118, 0.15931182019249218, 0.05448421401387343
69, 0.6509888780271132, 0.3987702817565818, 0.16519653942497525, 0.06177932500330281
70, 0.6408049010847267, 0.3903957178271572, 0.16032869878598516, 0.05739887648086442
71, 0.6464301383450748, 0.4003208859374941, 0.16467718589729294, 0.06033934524460363
72, 0.6358987551761663, 0.38534255937100587, 0.14580679357656287, 0.048197551373991766
73, 0.644086320430449, 0.3875641358629138, 0.1579598924691991, 0.05442631884019616
74, 0.6465618953092491, 0.3936617793934936, 0.15697740266281787, 0.058209803872252386
75, 0.6416674539822983, 0.39076542252558183, 0.15893674127835333, 0.05758165522299128
76, 0.6401327480889919, 0.3862377885887376, 0.1406311990022747, 0.047114465147954226
77, 0.6415985128603034, 0.39027875897352254, 0.15199239227546685, 0.05210022140180756
78, 0.6473391163096193, 0.3906157942106458, 0.15589234927106793, 0.05265077132634611
79, 0.6399253877254475, 0.39316348268311274, 0.15456429228329402, 0.05589359865795054
80, 0.6465738130149589, 0.39865826388345704, 0.15752900462691835, 0.05435362152014916
81, 0.6332512650554051, 0.3796990719287208, 0.14698776865197746, 0.0506259657363868
82, 0.6414952820391429, 0.39046220077661403, 0.1570680746530099, 0.05532041796958204
83, 0.644949962068105, 0.3951716723386514, 0.1551984016650041, 0.05471560086956064
84, 0.6446837152552186, 0.3867414445971002, 0.15590186128036948, 0.0532426919507998
85, 0.6318551942367718, 0.3812153187901012, 0.14351252214112767, 0.048483578879290896
86, 0.6519334280561366, 0.40261172586207694, 0.16338616816514856, 0.061310212901731935
87, 0.6433183705514126, 0.39079710038355825, 0.15149353095876505, 0.05188426157926576
88, 0.6482276946557135, 0.39525167609979506, 0.15584705904593038, 0.05741117786945218
89, 0.6481519707057188, 0.39670671406780444, 0.15829764736482368, 0.05405269735931285
90, 0.6502507123872461, 0.3995544224600482, 0.16076463943755653, 0.06051211815152801
91, 0.64307596759451, 0.39282735024795057, 0.1503255293642657, 0.054228517344477714
92, 0.6444457247053966, 0.3940620171196977, 0.1577005999976984, 0.056920237761501256
93, 0.6386915944462662, 0.38857727765114897, 0.15619582637358256, 0.0547785019235028
94, 0.6438719610776421, 0.38978165748046795, 0.15519599071551624, 0.052984379527909006
95, 0.6475174098135664, 0.38880866820367177, 0.15608504477280113, 0.053919642976978564
96, 0.6396753878107482, 0.3866948407442777, 0.15065864310975638, 0.05114669841679114
