Iteration, Batch, Loss
2, 0, 1.5448544025421143
2, 1, 1.5088634490966797
2, 2, 1.4370709657669067
2, 3, 1.5590633153915405
2, 4, 1.427219033241272
2, 5, 1.502610445022583
2, 6, 1.4695136547088623
2, 7, 1.4596500396728516
2, 8, 1.5105699300765991
2, 9, 1.518433928489685
2, 10, 1.4451175928115845
2, 11, 1.511255145072937
2, 12, 1.491026520729065
2, 13, 1.5120548009872437
2, 14, 1.5187658071517944
2, 15, 1.557827115058899
2, 16, 1.4375932216644287
2, 17, 1.4194072484970093
2, 18, 1.4538908004760742
2, 19, 1.6009626388549805
2, 20, 1.4341495037078857
2, 21, 1.372156023979187
2, 22, 1.4823617935180664
2, 23, 1.5052595138549805
2, 24, 1.5212453603744507
2, 25, 1.5515238046646118
2, 26, 1.3707774877548218
2, 27, 1.5056536197662354
2, 28, 1.3880640268325806
2, 29, 1.364820122718811
2, 30, 1.4189157485961914
2, 31, 1.451917290687561
2, 32, 1.5070359706878662
2, 33, 1.4706934690475464
2, 34, 1.3301790952682495
2, 35, 1.5146397352218628
2, 36, 1.561928153038025
2, 37, 1.3893588781356812
2, 38, 1.3505947589874268
2, 39, 1.4077082872390747
2, 40, 1.5220495462417603
2, 41, 1.3945378065109253
2, 42, 1.3808571100234985
2, 43, 1.5084073543548584
2, 44, 1.4585129022598267
2, 45, 1.4911037683486938
2, 46, 1.502970576286316
3, 0, 1.3718665838241577
3, 1, 1.4980918169021606
3, 2, 1.5240663290023804
3, 3, 1.426740288734436
3, 4, 1.4101383686065674
3, 5, 1.5002639293670654
3, 6, 1.3754985332489014
3, 7, 1.421136736869812
3, 8, 1.5077530145645142
3, 9, 1.4110682010650635
3, 10, 1.3820335865020752
3, 11, 1.4651687145233154
3, 12, 1.3848882913589478
3, 13, 1.4612797498703003
3, 14, 1.4759985208511353
3, 15, 1.4263966083526611
3, 16, 1.4855093955993652
3, 17, 1.4695847034454346
3, 18, 1.4348692893981934
3, 19, 1.3610864877700806
3, 20, 1.429154396057129
3, 21, 1.466862678527832
3, 22, 1.3400232791900635
3, 23, 1.4589229822158813
3, 24, 1.3907345533370972
3, 25, 1.4166443347930908
3, 26, 1.385336995124817
3, 27, 1.3956700563430786
3, 28, 1.3471940755844116
3, 29, 1.410601019859314
3, 30, 1.393366813659668
3, 31, 1.422387957572937
3, 32, 1.3911184072494507
3, 33, 1.4331518411636353
3, 34, 1.4937516450881958
3, 35, 1.4527140855789185
3, 36, 1.471714735031128
3, 37, 1.467616081237793
3, 38, 1.3900156021118164
3, 39, 1.5253578424453735
3, 40, 1.4622911214828491
3, 41, 1.3947317600250244
3, 42, 1.4043848514556885
3, 43, 1.4547611474990845
3, 44, 1.3961104154586792
3, 45, 1.308874487876892
3, 46, 1.422614336013794
4, 0, 1.426482081413269
4, 1, 1.3991390466690063
4, 2, 1.425003170967102
4, 3, 1.4432995319366455
4, 4, 1.4562543630599976
4, 5, 1.3375533819198608
4, 6, 1.3895387649536133
4, 7, 1.3425812721252441
4, 8, 1.3896175622940063
4, 9, 1.3403136730194092
4, 10, 1.4177037477493286
4, 11, 1.4261177778244019
4, 12, 1.3727459907531738
4, 13, 1.3979225158691406
4, 14, 1.448791265487671
4, 15, 1.4240528345108032
4, 16, 1.4004499912261963
4, 17, 1.4745757579803467
4, 18, 1.3969649076461792
4, 19, 1.4123811721801758
4, 20, 1.3633875846862793
4, 21, 1.3422752618789673
4, 22, 1.3569549322128296
4, 23, 1.3661329746246338
4, 24, 1.3301870822906494
4, 25, 1.308412790298462
4, 26, 1.345279574394226
4, 27, 1.4414339065551758
4, 28, 1.3645439147949219
4, 29, 1.3066908121109009
4, 30, 1.342438817024231
4, 31, 1.3830245733261108
4, 32, 1.4144015312194824
4, 33, 1.4130744934082031
4, 34, 1.4081474542617798
4, 35, 1.457668662071228
4, 36, 1.2963932752609253
4, 37, 1.360809564590454
4, 38, 1.4055635929107666
4, 39, 1.4065587520599365
4, 40, 1.3552485704421997
4, 41, 1.4057488441467285
4, 42, 1.3821144104003906
4, 43, 1.4668169021606445
4, 44, 1.2645190954208374
4, 45, 1.3585716485977173
4, 46, 1.450415015220642
5, 0, 1.404795527458191
5, 1, 1.3725749254226685
5, 2, 1.3056247234344482
5, 3, 1.3864003419876099
5, 4, 1.3559839725494385
