Iteration, BLEU1, BLEU2, BLEU3, BLEU4
0, 0.5483129663149756, 0.273079453595215, 0.06342307413163757, 0.01573178583521719
1, 0.5773662090418031, 0.30243621189249387, 0.08282721839740194, 0.02407895611014232
2, 0.5822068124531848, 0.3089957620187325, 0.07559712004577522, 0.018318451742370578
3, 0.5916990640548325, 0.3189775211680336, 0.08886912822221173, 0.02307656500748136
4, 0.6031008913056571, 0.33250773280979007, 0.10463817716719512, 0.0333853611047898
5, 0.6070323717501519, 0.3399459986285455, 0.11616388353621993, 0.034859576531435704
6, 0.6168562661281977, 0.34510085968158727, 0.12350025797380562, 0.04011017322933998
7, 0.6125353034738257, 0.3551234984665, 0.13241512139262296, 0.045897755665241124
8, 0.626410097396979, 0.3632467740435909, 0.13551956799024054, 0.045965912356576884
9, 0.6159709804654534, 0.3533652972286022, 0.12344723022395498, 0.0390921987532506
10, 0.6247056415966687, 0.3581282254840521, 0.1356127576825674, 0.04529369663455569
11, 0.6171667767430136, 0.35974632887171826, 0.1198866344177237, 0.037834840001705346
12, 0.6251295106220719, 0.36761245180533025, 0.13239305759474762, 0.042888434158283834
13, 0.6210339732854849, 0.3590794910558447, 0.12594103040423077, 0.038832370001737275
14, 0.629037564088796, 0.3692164668533061, 0.13672773750010023, 0.045607460142176134
15, 0.6225914521836368, 0.36531298921174654, 0.13604355815021332, 0.04310730321909848
16, 0.6378784495329776, 0.38036684604675786, 0.14764387688852024, 0.05265273582152319
17, 0.6393548824703219, 0.37963717581471074, 0.14922136925864202, 0.052115075109142206
18, 0.6399311353428861, 0.38060393167624823, 0.15546183121917376, 0.0586913363738597
19, 0.6359676704940479, 0.3755854357713017, 0.1469521382646602, 0.05589995488507311
20, 0.6403141559021059, 0.38298881489626274, 0.14117555559507797, 0.04770680828591272
21, 0.6346349754997727, 0.37964387236058544, 0.14152180023198566, 0.04704117374123661
22, 0.6343778649272763, 0.37247185234850166, 0.13645990259826057, 0.04426985036613692
23, 0.6493493000391646, 0.38964404993103413, 0.1556726259111835, 0.05498663487159691
24, 0.6423594015216983, 0.3846963310343916, 0.15068243348564958, 0.05355234292044314
25, 0.6434750727682533, 0.380957187581055, 0.14820281637526492, 0.04885549489053119
26, 0.642552910615277, 0.39134514634194967, 0.15311064398541607, 0.053847662779226944
27, 0.6438463340488432, 0.387185305199976, 0.14860608741905373, 0.05062771778464742
28, 0.6366282668906093, 0.3740544155045856, 0.13245867492727367, 0.041564954919597684
29, 0.6405402230116102, 0.3857786415165841, 0.1533405496890325, 0.0524739032349719
30, 0.6481706620540705, 0.38870301182788747, 0.15516895906289577, 0.05382199703284784
31, 0.6482274557929066, 0.3928143724103348, 0.15656054387829876, 0.05434523414175665
32, 0.640197402289108, 0.3838468372797375, 0.149933315613648, 0.04990756517579719
33, 0.6435835051582731, 0.39055119146528566, 0.15407007997486177, 0.052981536994509415
34, 0.6501889761607214, 0.39531633798999866, 0.15550967627648052, 0.05768855461256868
35, 0.6409535832463004, 0.3848862188893876, 0.14898885229392253, 0.049889850884169085
36, 0.6498309969773829, 0.39012347603188263, 0.14371447607490911, 0.048995217468671255
37, 0.6479419344952246, 0.3866055892834637, 0.15024419627579383, 0.05050544317460016
38, 0.6551437755467686, 0.3967705540311553, 0.15993162505643324, 0.05912026271684298
39, 0.6486987297921843, 0.39249773127142495, 0.15261583608580995, 0.052465242025877934
40, 0.6422118200092622, 0.38714474942659094, 0.1474924571912606, 0.05115401959077803
41, 0.6556635166621498, 0.39746601485528216, 0.16150100244169613, 0.05627104466844386
42, 0.6447246095646315, 0.387213588174244, 0.1429458545237084, 0.04397584636787038
43, 0.6537376032886338, 0.39642676535318166, 0.15533925741552382, 0.055494279866865656
44, 0.6532403674822083, 0.4025089025162087, 0.15911571107957634, 0.057653446589025624
45, 0.6583420084815009, 0.4031356271174477, 0.1682079527367332, 0.06382811338569691
