Iteration, BLEU1, BLEU2, BLEU3, BLEU4
0, 0.4734943601080112, 0.20980361669975245, 0.04190544683208388, 0.015376266859937001
1, 0.5214927565882694, 0.2283506017818977, 0.04374736766266008, 0.00828069976595
2, 0.5354869507245731, 0.24355297525272038, 0.059511725707498415, 0.01903489383871798
3, 0.5451998203926147, 0.26399924749537007, 0.06651246011432668, 0.02101622934753317
4, 0.566535478178597, 0.29605005611767177, 0.08070152570243165, 0.026563809838834062
5, 0.5819073956190245, 0.307625840236978, 0.09060813287753701, 0.029693748486274957
6, 0.5879726777884869, 0.32183475069747847, 0.09185928043211022, 0.027692389433581724
7, 0.601347298060264, 0.34099831839078715, 0.1072813033132378, 0.03497330373264378
8, 0.6154304898116204, 0.3494019691764495, 0.12094959099195954, 0.03910683400292409
9, 0.6169197103222097, 0.3523167325071348, 0.12955814522107426, 0.04481736308482731
10, 0.6208753667602488, 0.36617780539787653, 0.1342628232227572, 0.04885237722243166
11, 0.6385350051263604, 0.3761455824384383, 0.15188323894860564, 0.054888018990573086
12, 0.6332774209875364, 0.379807805112785, 0.15385708836555728, 0.05667805431483077
13, 0.642998067205377, 0.387779952522025, 0.15646401769347085, 0.057872532140883136
14, 0.6450539887165325, 0.3853579582318587, 0.15538701472506658, 0.05372275167725518
15, 0.6417836981480405, 0.3916714775873683, 0.15763575986850076, 0.058462937316923605
16, 0.6494126885681054, 0.3992029014999519, 0.17023586435480978, 0.06437712049878382
17, 0.6558438442684776, 0.40162803213580006, 0.16494329582341885, 0.06259212443675853
18, 0.654891469386102, 0.40173347089860634, 0.16407766603444057, 0.05876888506792078
19, 0.6576980962469307, 0.4063137395353199, 0.17470974591088392, 0.06908580366881266
20, 0.65460398003932, 0.41336325689938214, 0.17780549782139057, 0.06803688456633832
21, 0.6543966999578696, 0.4042628186406767, 0.16445171087401092, 0.057154342493116
22, 0.6652007196472804, 0.4171982911043533, 0.17912383772034512, 0.07041721288030015
23, 0.6696458630858327, 0.415176336959734, 0.18053557735882547, 0.06833245345449086
24, 0.6718493495703272, 0.4252267175441553, 0.19010872203028073, 0.07453544741611746
25, 0.6722698508778355, 0.42548961123161827, 0.19277687312713102, 0.075257756549717
26, 0.6702091365134775, 0.42608920359039315, 0.18265768847496308, 0.06863342603021517
27, 0.6718421273278986, 0.4260812597234435, 0.18962142454080747, 0.07272351600022123
28, 0.6778105304607281, 0.43020033942253366, 0.19057063605972283, 0.07429384350868459
